model_name,fold,num_estimators,type_split,balanced_accuracy,f1
Model 2,0,5,3,0.7999999999999999,0.7802197802197803
Model 3,0,5,3,0.9333333333333332,0.9333333333333333
Model 4,0,5,3,0.9,0.8976982097186702
Majority Voting,0,5,3,0.9333333333333332,0.9326599326599326
Higher Belief,0,5,3,0.9666666666666667,0.9665831244778613
Baseline Model,0,5,3,0.9666666666666667,0.9665831244778613
Ensemble Model,0,5,3,0.6,0.5844017094017093
Model 0,1,3,1,0.6333333333333333,0.5308432371250708
Model 1,1,3,1,0.3333333333333333,0.16666666666666666
Model 2,1,3,1,0.3333333333333333,0.16666666666666666
Majority Voting,1,3,1,0.6333333333333333,0.5308432371250708
Higher Belief,1,3,1,1.0,1.0
Baseline Model,1,3,1,0.9666666666666667,0.9665831244778613
Ensemble Model,1,3,1,0.3333333333333333,0.16666666666666666
Model 0,1,5,1,0.3333333333333333,0.16666666666666666
Model 1,1,5,1,0.3333333333333333,0.16666666666666666
Model 2,1,5,1,0.3333333333333333,0.16666666666666666
Model 3,1,5,1,0.6333333333333333,0.5308432371250708
Model 4,1,5,1,0.3333333333333333,0.16666666666666666
Majority Voting,1,5,1,0.6333333333333333,0.5308432371250708
Higher Belief,1,5,1,0.9666666666666667,0.9665831244778613
Baseline Model,1,5,1,0.9666666666666667,0.9665831244778613
Ensemble Model,1,5,1,0.3333333333333333,0.16666666666666666
Model 0,1,3,2,0.9333333333333332,0.9326599326599326
Model 1,1,3,2,1.0,1.0
Model 2,1,3,2,1.0,1.0
Majority Voting,1,3,2,1.0,1.0
Higher Belief,1,3,2,1.0,1.0
Baseline Model,1,3,2,0.9666666666666667,0.9665831244778613
Ensemble Model,1,3,2,0.9666666666666667,0.9665831244778613
Model 0,1,5,2,0.9666666666666667,0.9665831244778613
Model 1,1,5,2,1.0,1.0
Model 2,1,5,2,0.9666666666666667,0.9665831244778613
Model 3,1,5,2,0.9666666666666667,0.9665831244778613
Model 4,1,5,2,0.6666666666666666,0.5367686527106817
Majority Voting,1,5,2,0.9666666666666667,0.9665831244778613
Higher Belief,1,5,2,0.9666666666666667,0.9665831244778613
Baseline Model,1,5,2,0.9666666666666667,0.9665831244778613
Ensemble Model,1,5,2,0.6333333333333333,0.5243568691844553
Model 0,1,3,3,1.0,1.0
Model 1,1,3,3,1.0,1.0
Model 2,1,3,3,0.9666666666666667,0.9665831244778613
Majority Voting,1,3,3,1.0,1.0
Higher Belief,1,3,3,1.0,1.0
Baseline Model,1,3,3,0.9666666666666667,0.9665831244778613
Ensemble Model,1,3,3,1.0,1.0
Model 0,1,5,3,0.9333333333333332,0.9333333333333333
Model 1,1,5,3,0.9333333333333332,0.9326599326599326
Model 2,1,5,3,0.9666666666666667,0.9665831244778613
Model 3,1,5,3,0.9666666666666667,0.9665831244778613
Model 4,1,5,3,0.9666666666666667,0.9665831244778613
Majority Voting,1,5,3,0.9333333333333332,0.9333333333333333
Higher Belief,1,5,3,0.9666666666666667,0.9665831244778613
Baseline Model,1,5,3,0.9666666666666667,0.9665831244778613
Ensemble Model,1,5,3,0.9666666666666667,0.9665831244778613
Model 0,2,3,1,0.3333333333333333,0.16666666666666666
Model 1,2,3,1,0.5666666666666667,0.47653000594177064
Model 2,2,3,1,0.3666666666666667,0.23154623154623158
Majority Voting,2,3,1,0.6,0.5434491978609626
Higher Belief,2,3,1,1.0,1.0
Baseline Model,2,3,1,1.0,1.0
Ensemble Model,2,3,1,0.3333333333333333,0.16666666666666666
Model 0,2,5,1,0.3333333333333333,0.16666666666666666
Model 1,2,5,1,0.3333333333333333,0.16666666666666666
Model 2,2,5,1,0.3333333333333333,0.16666666666666666
Model 3,2,5,1,0.6,0.5046296296296297
Model 4,2,5,1,0.3333333333333333,0.16666666666666666
Majority Voting,2,5,1,0.6,0.5046296296296297
Higher Belief,2,5,1,0.9333333333333332,0.9326599326599326
Baseline Model,2,5,1,1.0,1.0
Ensemble Model,2,5,1,0.3333333333333333,0.16666666666666666
Model 0,2,3,2,0.9666666666666667,0.9665831244778613
Model 1,2,3,2,1.0,1.0
Model 2,2,3,2,0.9666666666666667,0.9665831244778613
Majority Voting,2,3,2,0.9666666666666667,0.9665831244778613
Higher Belief,2,3,2,1.0,1.0
Baseline Model,2,3,2,1.0,1.0
Ensemble Model,2,3,2,1.0,1.0
Model 0,2,5,2,1.0,1.0
Model 1,2,5,2,0.9,0.8976982097186702
Model 2,2,5,2,0.9666666666666667,0.9665831244778613
Model 3,2,5,2,0.9333333333333332,0.9326599326599326
Model 4,2,5,2,1.0,1.0
Majority Voting,2,5,2,1.0,1.0
Higher Belief,2,5,2,1.0,1.0
Baseline Model,2,5,2,1.0,1.0
Ensemble Model,2,5,2,1.0,1.0
Model 0,2,3,3,0.9666666666666667,0.9665831244778613
Model 1,2,3,3,0.9666666666666667,0.9665831244778613
Model 2,2,3,3,1.0,1.0
Majority Voting,2,3,3,0.9666666666666667,0.9665831244778613
Higher Belief,2,3,3,1.0,1.0
Baseline Model,2,3,3,1.0,1.0
Ensemble Model,2,3,3,1.0,1.0
Model 0,2,5,3,0.6666666666666666,0.5555555555555555
Model 1,2,5,3,0.9,0.8976982097186702
Model 2,2,5,3,1.0,1.0
Model 3,2,5,3,1.0,1.0
Model 4,2,5,3,0.9,0.8997493734335841
Majority Voting,2,5,3,1.0,1.0
Higher Belief,2,5,3,1.0,1.0
Baseline Model,2,5,3,1.0,1.0
Ensemble Model,2,5,3,0.6666666666666666,0.5555555555555555
Model 0,3,3,1,0.3333333333333333,0.16666666666666666
Model 1,3,3,1,0.3666666666666667,0.23154623154623158
Model 2,3,3,1,0.4666666666666666,0.38480392156862747
Majority Voting,3,3,1,0.5333333333333333,0.47095959595959597
Higher Belief,3,3,1,0.9,0.8997493734335841
Baseline Model,3,3,1,0.9333333333333332,0.9326599326599326
Ensemble Model,3,3,1,0.3333333333333333,0.16666666666666666
Model 0,3,5,1,0.3333333333333333,0.16666666666666666
Model 1,3,5,1,0.3333333333333333,0.16666666666666666
Model 2,3,5,1,0.3333333333333333,0.16666666666666666
Model 3,3,5,1,0.5666666666666668,0.4567099567099567
Model 4,3,5,1,0.3333333333333333,0.16666666666666666
Majority Voting,3,5,1,0.5666666666666668,0.4567099567099567
Higher Belief,3,5,1,0.9,0.8997493734335841
Baseline Model,3,5,1,0.9333333333333332,0.9326599326599326
Ensemble Model,3,5,1,0.3333333333333333,0.16666666666666666
Model 0,3,3,2,0.9333333333333332,0.9333333333333333
Model 1,3,3,2,0.9,0.8976982097186702
Model 2,3,3,2,0.9333333333333332,0.9333333333333333
Majority Voting,3,3,2,0.9333333333333332,0.9333333333333333
Higher Belief,3,3,2,0.9,0.8997493734335841
Baseline Model,3,3,2,0.9333333333333332,0.9326599326599326
Ensemble Model,3,3,2,0.9333333333333332,0.9326599326599326
Model 0,3,5,2,0.9333333333333332,0.9326599326599326
Model 1,3,5,2,0.9,0.8976982097186702
Model 2,3,5,2,0.9,0.8976982097186702
Model 3,3,5,2,0.9333333333333332,0.9326599326599326
Model 4,3,5,2,0.9,0.8976982097186702
Majority Voting,3,5,2,0.9333333333333332,0.9326599326599326
Higher Belief,3,5,2,0.9333333333333332,0.9326599326599326
Baseline Model,3,5,2,0.9333333333333332,0.9326599326599326
Ensemble Model,3,5,2,0.9333333333333332,0.9326599326599326
Model 0,3,3,3,0.9333333333333332,0.9326599326599326
Model 1,3,3,3,0.9,0.8976982097186702
Model 2,3,3,3,0.9333333333333332,0.9326599326599326
Majority Voting,3,3,3,0.9333333333333332,0.9326599326599326
Higher Belief,3,3,3,0.9333333333333332,0.9326599326599326
Baseline Model,3,3,3,0.9333333333333332,0.9326599326599326
Ensemble Model,3,3,3,0.9,0.8976982097186702
Model 0,3,5,3,0.9333333333333332,0.9326599326599326
Model 1,3,5,3,0.9,0.8997493734335841
Model 2,3,5,3,0.9333333333333332,0.9326599326599326
Model 3,3,5,3,0.9333333333333332,0.9326599326599326
Model 4,3,5,3,0.9,0.8997493734335841
Majority Voting,3,5,3,0.9333333333333332,0.9326599326599326
Higher Belief,3,5,3,0.9333333333333332,0.9326599326599326
Baseline Model,3,5,3,0.9333333333333332,0.9326599326599326
Ensemble Model,3,5,3,0.9333333333333332,0.9326599326599326
Model 0,4,3,1,0.3333333333333333,0.16666666666666666
Model 1,4,3,1,0.3333333333333333,0.16666666666666666
Model 2,4,3,1,0.4666666666666666,0.38888888888888895
Majority Voting,4,3,1,0.5666666666666667,0.45555555555555555
Higher Belief,4,3,1,0.8666666666666667,0.8653198653198653
Baseline Model,4,3,1,0.9333333333333332,0.9326599326599326
Ensemble Model,4,3,1,0.3333333333333333,0.16666666666666666
Model 0,4,5,1,0.4666666666666666,0.3888888888888889
Model 1,4,5,1,0.3333333333333333,0.16666666666666666
Model 2,4,5,1,0.3333333333333333,0.16666666666666666
Model 3,4,5,1,0.3333333333333333,0.16666666666666666
Model 4,4,5,1,0.3333333333333333,0.16666666666666666
Majority Voting,4,5,1,0.4666666666666666,0.3888888888888889
Higher Belief,4,5,1,0.9333333333333332,0.9326599326599326
Baseline Model,4,5,1,0.9333333333333332,0.9326599326599326
Ensemble Model,4,5,1,0.3333333333333333,0.16666666666666666
Model 0,4,3,2,0.9,0.8997493734335841
Model 1,4,3,2,0.9333333333333332,0.9326599326599326
Model 2,4,3,2,0.9333333333333332,0.9326599326599326
Majority Voting,4,3,2,0.9333333333333332,0.9326599326599326
Higher Belief,4,3,2,0.9333333333333332,0.9326599326599326
Baseline Model,4,3,2,0.9333333333333332,0.9326599326599326
Ensemble Model,4,3,2,0.9333333333333332,0.9326599326599326
Model 0,4,5,2,0.9,0.8997493734335841
Model 1,4,5,2,0.9333333333333332,0.9326599326599326
Model 2,4,5,2,0.9333333333333332,0.9326599326599326
Model 3,4,5,2,0.9333333333333332,0.9326599326599326
Model 4,4,5,2,0.9,0.8997493734335841
Majority Voting,4,5,2,0.9333333333333332,0.9326599326599326
Higher Belief,4,5,2,0.9,0.8997493734335841
Baseline Model,4,5,2,0.9333333333333332,0.9326599326599326
Ensemble Model,4,5,2,0.9333333333333332,0.9326599326599326
Model 0,4,3,3,0.8666666666666667,0.8666666666666667
Model 1,4,3,3,0.9333333333333332,0.9326599326599326
Model 2,4,3,3,0.9,0.8997493734335841
Majority Voting,4,3,3,0.9,0.8997493734335841
Higher Belief,4,3,3,0.9333333333333332,0.9326599326599326
Baseline Model,4,3,3,0.9333333333333332,0.9326599326599326
Ensemble Model,4,3,3,0.9333333333333332,0.9326599326599326
Model 0,4,5,3,0.8666666666666667,0.8666666666666667
Model 1,4,5,3,0.9333333333333332,0.9326599326599326
Model 2,4,5,3,0.9333333333333332,0.9333333333333333
Model 3,4,5,3,0.9,0.8976982097186702
Model 4,4,5,3,0.9,0.8976982097186702
Majority Voting,4,5,3,0.9333333333333332,0.9326599326599326
Higher Belief,4,5,3,0.9333333333333332,0.9326599326599326
Baseline Model,4,5,3,0.9333333333333332,0.9326599326599326
Ensemble Model,4,5,3,0.9,0.8976982097186702
