model_name,fold,num_estimators,type_split,balanced_accuracy,f1
Majority Voting,1,5,1,0.33965992647058824,0.5158733014783673
Higher Belief,1,5,1,0.3196844362745098,0.547407249115631
Baseline Model,1,5,1,0.2774050245098039,0.5307867254936935
Ensemble Model,1,5,1,0.19799325980392157,0.4248195709521676
Model 0,1,3,2,0.2704503676470588,0.46454156975849364
Model 1,1,3,2,0.3287071078431372,0.5252535199055133
Model 2,1,3,2,0.32575061274509803,0.5313016662063886
Majority Voting,1,3,2,0.28939950980392154,0.5421690614159234
Higher Belief,1,3,2,0.29932598039215685,0.5308139904153328
Baseline Model,1,3,2,0.2774050245098039,0.5307867254936935
Ensemble Model,1,3,2,0.3017922794117647,0.5610821143162347
Model 0,1,5,2,0.26580882352941176,0.48753165224638967
Model 1,1,5,2,0.30686274509803924,0.47265526130920266
Model 2,1,5,2,0.3635110294117647,0.4893112152897944
Model 3,1,5,2,0.290625,0.5161697722567287
Model 4,1,5,2,0.28039215686274505,0.5023174626367204
Majority Voting,1,5,2,0.3536305147058824,0.5474279509058723
Higher Belief,1,5,2,0.39523590686274507,0.5301650622944822
Baseline Model,1,5,2,0.2774050245098039,0.5307867254936935
Ensemble Model,1,5,2,0.29517463235294117,0.5527092837165049
Model 0,1,3,3,0.30949754901960785,0.5171213886622966
Model 1,1,3,3,0.2804074754901961,0.5528183437135512
Model 2,1,3,3,0.34201899509803924,0.5262532045797172
Majority Voting,1,3,3,0.32159926470588235,0.5506123748321421
Higher Belief,1,3,3,0.32766544117647056,0.5360589114832537
Baseline Model,1,3,3,0.2774050245098039,0.5307867254936935
Ensemble Model,1,3,3,0.2849877450980392,0.5344941387585977
Model 0,1,5,3,0.26277573529411763,0.4925076038903625
Model 1,1,5,3,0.2910386029411765,0.516751915495634
Model 2,1,5,3,0.2704656862745098,0.497320651988414
Model 3,1,5,3,0.28276654411764707,0.4656511529278019
Model 4,1,5,3,0.24379595588235295,0.5242081800260703
Majority Voting,1,5,3,0.2901807598039216,0.5369440827871059
Higher Belief,1,5,3,0.2911917892156863,0.5198406452882156
Baseline Model,1,5,3,0.2774050245098039,0.5307867254936935
Ensemble Model,1,5,3,0.30312500000000003,0.5635324525162259
Model 0,2,3,1,0.40530024509803925,0.5283609991248918
Model 1,2,3,1,0.27270220588235294,0.4182624519080795
Model 2,2,3,1,0.26381740196078435,0.5468101096199812
Majority Voting,2,3,1,0.3389246323529411,0.5608691457761422
Higher Belief,2,3,1,0.4256127450980392,0.5601194972893958
Baseline Model,2,3,1,0.38782169117647064,0.5650400255819396
Ensemble Model,2,3,1,0.30896139705882353,0.560682090899174
Model 0,2,5,1,0.24445465686274512,0.4670305156035936
Model 1,2,5,1,0.2207873774509804,0.30756571473182603
Model 2,2,5,1,0.2493259803921569,0.4276890857932175
Model 3,2,5,1,0.16796875,0.260267484453531
Model 4,2,5,1,0.38325674019607847,0.3525779400804033
Majority Voting,2,5,1,0.354702818627451,0.5031827444092392
Higher Belief,2,5,1,0.29459252450980394,0.5178428940736408
Baseline Model,2,5,1,0.38782169117647064,0.5650400255819396
Ensemble Model,2,5,1,0.16559436274509803,0.26269526365803647
Model 0,2,3,2,0.2665747549019608,0.5092787502075333
Model 1,2,3,2,0.32270220588235293,0.5247736858733727
Model 2,2,3,2,0.3574754901960784,0.48764972465662426
Majority Voting,2,3,2,0.3563878676470588,0.4930792493796526
Higher Belief,2,3,2,0.39080882352941176,0.5380401897415138
Baseline Model,2,3,2,0.38782169117647064,0.5650400255819396
Ensemble Model,2,3,2,0.2989736519607843,0.5695680630080038
Model 0,2,5,2,0.29885110294117645,0.5033234520198245
Model 1,2,5,2,0.27472426470588235,0.46272849339946287
Model 2,2,5,2,0.30078125,0.5040861852908132
Model 3,2,5,2,0.26187193627450983,0.49279954623497674
Model 4,2,5,2,0.3411151960784314,0.5204685352704174
Majority Voting,2,5,2,0.3208333333333333,0.5376538837377992
Higher Belief,2,5,2,0.2954656862745098,0.5210340169821585
Baseline Model,2,5,2,0.38782169117647064,0.5650400255819396
Ensemble Model,2,5,2,0.3061887254901961,0.5667358080884279
Model 0,2,3,3,0.26112132352941175,0.4369834255795245
Model 1,2,3,3,0.26136642156862744,0.5280714327329976
Model 2,2,3,3,0.33468137254901964,0.5220556404379934
Majority Voting,2,3,3,0.2689950980392157,0.5190390881544974
Higher Belief,2,3,3,0.28768382352941174,0.5313336891181966
Baseline Model,2,3,3,0.38782169117647064,0.5650400255819396
Ensemble Model,2,3,3,0.26355698529411764,0.5339469696969695
Model 0,2,5,3,0.4275735294117647,0.4376732227276781
Model 1,2,5,3,0.3197610294117647,0.5169617280256178
Model 2,2,5,3,0.2713541666666667,0.5162359213241674
Model 3,2,5,3,0.37645526960784315,0.4792001571821526
Model 4,2,5,3,0.25563725490196076,0.4962717010847607
Majority Voting,2,5,3,0.31046262254901963,0.5337073705981917
Higher Belief,2,5,3,0.4524969362745099,0.44900305274407126
Baseline Model,2,5,3,0.38782169117647064,0.5650400255819396
Ensemble Model,2,5,3,0.28648897058823525,0.5507113342436185
Model 0,3,3,1,0.25264523058640703,0.4842682469859888
Model 1,3,3,1,0.27218451483157363,0.3983440781400751
Model 2,3,3,1,0.27732018288084465,0.5179229434403414
Majority Voting,3,3,1,0.26698010935143285,0.5036014373704425
Higher Belief,3,3,1,0.2806449320695645,0.5025329003504589
Baseline Model,3,3,1,0.27529733848667676,0.5109036591507825
Ensemble Model,3,3,1,0.2736122894670689,0.4935443722943723
Model 0,3,5,1,0.26391620532245536,0.45399113872569086
Model 1,3,5,1,0.19421038010192423,0.3115061936936937
Model 2,3,5,1,0.31030540129804834,0.3848698269571562
Model 3,3,5,1,0.21784052344714108,0.3824756098889353
Model 4,3,5,1,0.2068780637254902,0.44627818426160976
Majority Voting,3,5,1,0.2705680247040541,0.49902948680387704
Higher Belief,3,5,1,0.29962431869600986,0.5244255743872646
Baseline Model,3,5,1,0.27529733848667676,0.5109036591507825
Ensemble Model,3,5,1,0.2264093137254902,0.49898255813953496
Model 0,3,3,2,0.22482638888888887,0.47097163865546215
Model 1,3,3,2,0.25915189793866267,0.4763401048492792
Model 2,3,3,2,0.2789322095388272,0.4993312447888522
Majority Voting,3,3,2,0.23671207264957264,0.4646360440819204
Higher Belief,3,3,2,0.26581550087983913,0.5030072101664802
Baseline Model,3,3,2,0.27529733848667676,0.5109036591507825
Ensemble Model,3,3,2,0.27307810143288086,0.5332579668177495
Model 0,3,5,2,0.26361001131221723,0.4903129593993819
Model 1,3,5,2,0.25904584590246355,0.4987653830474483
Model 2,3,5,2,0.27813289141414144,0.42391878822277895
Model 3,3,5,2,0.25152579242652773,0.428628895172577
Model 4,3,5,2,0.24447940233785823,0.4902748763940624
Majority Voting,3,5,2,0.2764776583710407,0.5217417017198817
Higher Belief,3,5,2,0.28394022235934,0.48050729755178906
Baseline Model,3,5,2,0.27529733848667676,0.5109036591507825
Ensemble Model,3,5,2,0.2720057975113122,0.5312366993673856
Model 0,3,3,3,0.30654912387449157,0.5546061603655085
Model 1,3,3,3,0.2747767193998812,0.41998951824513836
Model 2,3,3,3,0.23585562211481328,0.4247259248011903
Majority Voting,3,3,3,0.27079584018922254,0.4721252459268702
Higher Belief,3,3,3,0.25615083956076606,0.4349198750900881
Baseline Model,3,3,3,0.27529733848667676,0.5109036591507825
Ensemble Model,3,3,3,0.2654030762946204,0.5018252900475259
Model 0,3,5,3,0.28302289010009596,0.46576111582280577
Model 1,3,5,3,0.30413117315690846,0.49881738366900963
Model 2,3,5,3,0.2522604795123177,0.49648947420170036
Model 3,3,5,3,0.24804964235111293,0.481140166592953
Model 4,3,5,3,0.3346000659879336,0.5372278127328305
Majority Voting,3,5,3,0.28231623360299835,0.5314613216836083
Higher Belief,3,5,3,0.2814753159422277,0.4636163786195147
Baseline Model,3,5,3,0.27529733848667676,0.5109036591507825
Ensemble Model,3,5,3,0.28370883609854197,0.5476684701646942
Model 0,4,3,1,0.233315964180948,0.5198743698295532
Model 1,4,3,1,0.29090628377335187,0.4160700070554598
Model 2,4,3,1,0.32194607024389327,0.5322651378663272
Majority Voting,4,3,1,0.28656960994848907,0.5551198883218588
Higher Belief,4,3,1,0.27137353151711646,0.5420844217573803
Baseline Model,4,3,1,0.30738697769730655,0.5467209567508406
Ensemble Model,4,3,1,0.30024702794503627,0.5496898043390052
Model 0,4,5,1,0.3034168105323733,0.3813341453288064
Model 1,4,5,1,0.20795700169831713,0.43924457781531334
Model 2,4,5,1,0.2020842982862436,0.40008451187438504
Model 3,4,5,1,0.19225142813030724,0.39240113722872344
Model 4,4,5,1,0.3616049915552,0.5064334328288054
Majority Voting,4,5,1,0.22364906592558284,0.4886115115018424
Higher Belief,4,5,1,0.3226504273864163,0.454677174189655
Baseline Model,4,5,1,0.30738697769730655,0.5467209567508406
Ensemble Model,4,5,1,0.21792496526169525,0.47783497812908265
Model 0,4,3,2,0.3329388137980079,0.5204631359698236
Model 1,4,3,2,0.36098338643498445,0.4927292393894996
Model 2,4,3,2,0.29035748873636785,0.5168695896051989
Majority Voting,4,3,2,0.2898404494224318,0.5293761576236776
Higher Belief,4,3,2,0.3501956807538095,0.539436703931768
Baseline Model,4,3,2,0.30738697769730655,0.5467209567508406
Ensemble Model,4,3,2,0.31040359594088174,0.5613554885070207
Model 0,4,5,2,0.2762868962903701,0.5328079487405839
Model 1,4,5,2,0.31451990961022924,0.5328583209685827
Model 2,4,5,2,0.31299902685961045,0.5196720807131852
Model 3,4,5,2,0.31603857004505453,0.5306223657526207
Model 4,4,5,2,0.315571708282454,0.5145055813819882
Majority Voting,4,5,2,0.2923359930944461,0.556179831166457
Higher Belief,4,5,2,0.28994097997108653,0.5495109277723088
Baseline Model,4,5,2,0.30738697769730655,0.5467209567508406
Ensemble Model,4,5,2,0.29182070824034695,0.5626097365466011
Model 0,4,3,3,0.2957536808567378,0.5333089823886722
Model 1,4,3,3,0.30127093070585426,0.496517205130431
Model 2,4,3,3,0.27417540387665446,0.5171454703478842
Majority Voting,4,3,3,0.30653974904206494,0.5399191958680051
Higher Belief,4,3,3,0.3107064157087316,0.5445035632998368
Baseline Model,4,3,3,0.30738697769730655,0.5467209567508406
Ensemble Model,4,3,3,0.30006895027159036,0.5620151427069396
Model 0,4,5,3,0.2809163894620124,0.5082014485744731
Model 1,4,5,3,0.297224269092032,0.5088264539644008
Model 2,4,5,3,0.2745575252291324,0.47640969658945787
Model 3,4,5,3,0.3488353895602622,0.543782823737159
Model 4,4,5,3,0.23625257905596028,0.4411508415351695
Majority Voting,4,5,3,0.30366997908683874,0.5272107961836736
Higher Belief,4,5,3,0.2763195292433365,0.49426534284861734
Baseline Model,4,5,3,0.30738697769730655,0.5467209567508406
Ensemble Model,4,5,3,0.29435625359664264,0.517489025175358
